Best_dup0,EW_dup0,MV_dup0,EG_dup0,ONS_dup0
1.6865421238118235e+104,11.721830484810274,5.960921157501014,11.924357129803152,26.852211761938996
1.8973598892883015e+104,11.741151968726069,5.969823220322805,11.960791517952513,26.51951858513891
1.9165232241701132e+104,11.5228154635743,5.897417713223994,11.735880741885243,26.31188806290804
2.0097620790259894e+104,11.581056894178522,5.903211450386319,11.777621593365176,26.39888414691935
2.2376690987875365e+104,11.595607205381956,5.928523516712828,11.81178528626104,26.176382791533676
2.3775234174617576e+104,11.62489899758355,5.948008365081889,11.85062244701369,26.070164609680585
2.547349915171051e+104,11.71644507718952,5.9862939399524135,11.974078075518648,25.9193687307433
2.6590766824504533e+104,11.733762633927222,5.98372646207104,11.992460951174321,25.594476881336305
2.7825376128166276e+104,11.727481811539562,5.941093282530826,11.99096315753468,25.630481243299613
2.889554009405555e+104,11.608135138304126,5.918528578467814,11.872613875517212,25.303175036482155
2.966271668355273e+104,11.5217222456454,5.894636052319601,11.781417753017076,24.843815645265625
3.1310777222490924e+104,11.630496905079497,5.923383428529312,11.904250784990845,24.932347136067797
3.4002564740308474e+104,11.67972621392383,5.96042030809628,11.991534408699275,24.798572002738318
3.655275709583161e+104,11.670697136686789,5.943589332712531,11.969978669421593,25.113885720898246
3.9345753265524104e+104,11.906740228136595,6.009828965887324,12.196528826774028,26.321853489066463
4.2830213174718915e+104,12.084038204989232,6.048563884128724,12.402801364681812,26.558736343054672
4.405901199070161e+104,12.07393124970167,6.042180893994666,12.370913697924271,26.682841370332817
4.884822659409087e+104,12.080739605378586,6.056874749164182,12.369970411152165,27.086991125654126
5.289090582701783e+104,12.00899007940564,6.045560199280399,12.33446301374624,26.474898976973176
5.6933357759376804e+104,11.935932053925345,6.010827026874418,12.279255509199258,26.307100809867787
6.198676259409909e+104,11.991709327520676,6.016724048317966,12.34985782642462,26.30305274059593
6.465839206190475e+104,11.973661804982758,6.02803269057317,12.317508322691431,26.18446128757923
7.022224669883165e+104,12.011847808089147,6.001204190291968,12.375341512557315,26.16215425388732
7.59783642607349e+104,12.083651964986393,6.048891908510728,12.45083776462759,26.233264069783978
7.745386409467836e+104,11.968165817901026,5.991198624373322,12.323067510191933,26.405033112236943
7.839880123663343e+104,11.843055266727395,5.943295334931942,12.176606465212297,26.292073017901885
8.381302245003532e+104,11.942326387763165,5.966353410199849,12.295211582489312,26.44418484831678
8.580861051457067e+104,11.850430186209328,5.9386291426888524,12.199745654963644,26.010212734631452
8.854676327609064e+104,11.85831401406932,5.917046746228498,12.198623391680012,25.93808197683989
9.382326489971288e+104,11.972555693690419,5.9206026371818385,12.32573397926324,25.65770212002655
9.705829107345499e+104,11.990880355321595,5.900549242419768,12.355236168457608,25.69281365150487
1.0194614661191418e+105,12.170703591050236,5.9771664385585455,12.498656729499565,26.471915009996266
1.0653066482505196e+105,12.227246651483656,6.027048372973878,12.547356507287148,26.65085302127405
1.1032635241276857e+105,12.324314007609418,6.107160218615197,12.641116936983524,26.90119179382711
1.146908629142177e+105,12.404511057593378,6.171108574950117,12.715491398070402,27.16839410528761
1.2676322314456825e+105,12.476109206278304,6.210053267197656,12.752336008566216,28.1933245729802
1.3113401907859296e+105,12.36607338866482,6.184164742768888,12.664625196376981,27.780748165143507
1.3383406853142122e+105,12.375821976519552,6.206211328348248,12.67112589294727,27.544977364210624
1.4225758480478888e+105,12.508294837593214,6.234613522861303,12.81404863656177,28.164501336488385
1.438153053584013e+105,12.380960396146515,6.1960053905661985,12.656004872436581,27.854128905743384
1.459941072345811e+105,12.28244578210551,6.143410266396757,12.552426618380427,27.47513109456283
1.5055642308566175e+105,12.29187597103377,6.132244976453391,12.555270943547445,27.589609809436098
1.5634682311753628e+105,12.318214729711702,6.204169329789089,12.576734603060515,27.53991343633726
1.677867201650464e+105,12.287576592297858,6.229068970107759,12.560579452249522,27.230605910303318
1.689931066830331e+105,12.094265706775252,6.150217583609855,12.3657073736001,26.8014978721988
1.7150265431727614e+105,12.108839296951915,6.156053088189985,12.376701250177728,26.684007942896432
1.7346292965612262e+105,12.037800773076464,6.109455826173774,12.300177444099091,26.443464183325954
1.8163129901362945e+105,12.115414493560873,6.12721375370793,12.373598830641773,26.730779275110734
